iter	Passed	Remaining
450	1057	1286
451	1061	1286
452	1064	1285
453	1066	1282
454	1067	1278
455	1068	1274
456	1069	1270
457	1070	1267
458	1071	1262
459	1072	1258
460	1073	1254
461	1077	1254
462	1079	1252
463	1080	1248
464	1081	1244
465	1082	1240
466	1083	1236
467	1084	1232
468	1085	1228
469	1086	1225
470	1092	1226
471	1093	1223
472	1094	1219
473	1095	1216
474	1097	1212
475	1098	1208
476	1099	1205
477	1100	1201
478	1101	1197
479	1104	1196
480	1109	1197
481	1110	1193
482	1111	1190
483	1113	1187
484	1114	1183
485	1115	1179
486	1116	1175
487	1121	1176
488	1123	1173
489	1124	1170
490	1125	1166
491	1126	1163
492	1127	1159
493	1128	1156
494	1130	1153
495	1134	1152
496	1135	1149
497	1136	1145
498	1137	1142
499	1138	1138
500	1139	1134
501	1140	1131
502	1141	1127
503	1142	1124
504	1143	1120
505	1147	1119
506	1149	1117
507	1150	1114
508	1151	1111
509	1154	1108
510	1155	1105
511	1155	1101
512	1156	1098
513	1157	1094
514	1158	1090
515	1163	1091
516	1164	1088
517	1165	1084
518	1166	1081
519	1167	1078
520	1168	1074
521	1169	1071
522	1170	1067
523	1171	1064
524	1172	1060
525	1173	1057
526	1178	1057
527	1181	1056
528	1183	1053
529	1184	1050
530	1185	1047
531	1186	1043
532	1187	1040
533	1188	1036
534	1195	1039
535	1197	1036
536	1198	1033
537	1199	1029
538	1200	1026
539	1201	1023
540	1202	1019
541	1203	1016
542	1208	1017
543	1211	1015
544	1212	1012
545	1213	1009
546	1215	1006
547	1216	1003
548	1218	1000
549	1219	997
550	1228	1001
551	1230	998
552	1232	995
553	1233	993
554	1234	990
555	1237	988
556	1238	985
557	1240	982
558	1241	979
559	1242	976
560	1243	972
561	1246	971
562	1251	971
563	1252	968
564	1254	965
565	1255	962
566	1256	959
567	1258	957
568	1259	954
569	1264	954
570	1266	951
571	1267	948
572	1268	945
573	1269	942
574	1270	938
575	1271	935
576	1271	932
577	1272	929
578	1273	925
579	1274	922
580	1279	923
581	1281	920
582	1282	917
583	1283	914
584	1284	911
585	1285	908
586	1286	904
587	1287	901
588	1288	898
589	1288	895
590	1293	895
591	1298	895
592	1299	892
593	1300	889
594	1301	886
595	1302	883
596	1303	880
597	1304	877
598	1311	877
599	1313	875
600	1314	872
601	1315	869
602	1316	866
603	1317	863
604	1318	860
605	1319	857
606	1320	854
607	1322	852
608	1324	850
609	1325	847
610	1326	844
611	1327	841
612	1328	838
613	1329	836
614	1330	833
615	1332	830
616	1339	831
617	1340	828
618	1342	826
619	1343	823
620	1345	821
621	1351	821
622	1353	819
623	1355	816
624	1356	813
625	1357	810
626	1358	807
627	1359	805
628	1360	802
629	1366	802
630	1367	799
631	1368	797
632	1369	794
633	1371	791
634	1372	788
635	1373	786
636	1374	783
637	1376	780
638	1382	781
639	1384	779
640	1386	776
641	1387	773
642	1388	770
643	1389	768
644	1390	765
645	1396	765
646	1398	763
647	1400	760
648	1401	757
649	1402	755
650	1403	752
651	1404	749
652	1405	747
653	1414	748
654	1417	746
655	1418	744
656	1419	741
657	1420	738
658	1421	735
659	1426	735
660	1428	732
661	1429	730
662	1430	727
663	1431	724
664	1432	721
665	1433	718
666	1434	716
667	1435	713
668	1436	710
669	1438	708
670	1440	706
671	1441	703
